QBarcode,JobPA,JobPAAge,JobPAYrs,JobPATyp,UsualPA,Walk,WalkYrs,WalkDays,WalkMin,WalkPace,Wgts,WgtsYrs,WgtsDays,WgtsMin,Yoga,YogaYrs,YogaDays,YogaMin,MldX,MldXYrs,MldXDays,MldXHrs,ModX,ModXYrs,ModXDays,ModXMin,ModX1,ModX2,ModX3,ModX4,ModX5,ModX6,ModX7,ModX8,ModX9,ModXO,XDays18,XDays30,XDays45,XDays60
113,1,18,45,SHIRT PRESSER,5,1,1,1,1,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,1
115,99,999,999,,99,1,2,2,1,1,0,66,66,66,0,66,66,66,1,2,1,2,0,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,99
117,0,666,666,,3,1,2,1,1,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,1,2,66,66
118,99,999,999,,99,1,3,3,1,1,0,66,66,66,0,66,66,66,0,66,66,66,1,3,2,2,0,0,0,0,1,0,1,0,0,0,4,2,2,99
119,99,999,999,,99,1,1,1,1,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,99
120,0,666,666,,3,1,1,1,1,1,0,66,66,66,1,1,1,3,1,1,1,2,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,99
121,99,999,999,,99,0,66,66,66,66,0,66,66,66,0,66,66,66,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,88,2,1,2,66
122,1,999,999,,5,1,3,3,4,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,4,0
123,0,666,666,,3,1,1,3,2,3,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,4,0,0,66
124,0,666,666,,2,1,1,1,4,1,0,66,66,66,0,66,66,66,0,66,66,66,1,1,2,2,1,1,0,0,0,0,0,0,0,0,2,2,3,66
126,0,666,666,,4,1,4,1,1,1,0,66,66,66,0,66,66,66,1,4,1,1,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,0,0,99
127,0,666,666,,4,1,4,3,4,2,0,66,66,66,0,66,66,66,1,4,1,1,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,3,66
202,1,16,31,CONSTRUCTION,4,1,2,2,1,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,4,2,0,66
203,1,15,18,CONSTRUCTION,3,0,66,66,66,66,1,2,2,2,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,0,66,66
204,1,45,25,SUPERVISION,5,1,1,2,1,1,0,66,66,66,1,1,1,1,1,2,2,1,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,2,1
205,1,18,32,MECHANICAL M,5,1,1,2,1,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,3,66
209,0,666,666,,3,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,99
210,0,666,666,,3,1,2,2,1,2,0,66,66,66,0,66,66,66,1,2,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,88,2,2,66,66
211,0,666,666,,3,0,66,66,66,66,0,66,66,66,0,66,66,66,1,4,1,2,1,1,2,2,0,0,0,0,0,1,0,0,0,0,4,2,66,66
212,1,22,27,REGISTERED NURSE,3,1,4,3,1,2,1,1,1,1,0,66,66,66,0,66,66,66,1,1,1,4,0,0,0,0,0,0,0,0,0,88,0,4,4,66
213,0,666,666,,3,1,1,2,2,2,0,66,66,66,0,66,66,66,0,66,66,66,1,1,1,1,0,0,0,0,0,0,0,0,0,88,2,2,1,99
214,1,16,29,NURSE,1,1,1,1,1,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,1,0,0,66
215,1,40,9,SECRETARY,3,1,1,1,1,1,0,66,66,66,0,66,66,66,0,66,66,66,1,2,1,1,0,0,0,0,0,0,1,0,0,0,1,2,3,66
216,0,666,666,,99,1,4,3,3,3,1,4,1,4,1,99,99,99,0,66,66,66,1,1,1,3,1,0,1,0,0,0,0,0,0,0,0,2,3,0
238,0,666,666,,3,1,1,2,2,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,4,2,66,66
239,1,16,56,HOUSEKEEPING,2,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,3,3
240,1,16,31,LABOR,3,1,4,3,4,2,0,66,66,66,0,66,66,66,1,1,3,2,1,4,3,3,1,1,0,0,0,0,0,0,0,0,4,2,2,66
243,1,18,39,OFFICE WORK,3,1,2,2,2,2,0,66,66,66,1,1,2,2,1,2,1,2,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,2,66
244,0,666,666,,3,1,1,3,2,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,4,0,4,66
245,1,41,5,UNBAD SKIDS,3,1,4,2,1,2,0,66,66,66,0,66,66,66,1,2,1,3,1,2,2,4,0,0,0,0,1,0,0,0,0,88,4,3,1,66
246,99,999,999,,99,1,4,2,1,1,0,66,66,66,0,66,66,66,1,4,2,1,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,2,1,66
247,1,50,14,WORKED WITH CHILDREN,3,1,3,2,1,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,99
249,0,666,666,,3,1,4,2,2,1,0,66,66,66,0,66,66,66,1,4,2,2,1,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
250,1,16,25,WAITRESSING,3,1,1,3,4,2,0,66,66,66,0,66,66,66,1,3,1,1,0,66,66,66,66,66,66,66,66,66,66,66,66,66,4,2,66,66
251,1,18,8,LIGHT INDUSTRIAL,3,1,2,2,4,2,1,1,2,4,0,66,66,66,1,1,1,1,1,1,2,4,0,0,0,1,0,0,0,0,0,88,3,66,66,66
254,1,24,20,CLEANING STA,5,1,4,3,4,3,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,1,4,66,66
255,0,666,666,,3,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,1,1,1,2,0,0,0,0,0,0,0,0,0,88,2,2,2,66
256,0,666,666,,3,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,1,1,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,2
257,1,17,999,FACTORY WORK,5,1,1,2,2,1,0,66,66,66,0,66,66,66,1,1,1,2,1,3,2,4,0,0,0,0,0,0,1,0,0,0,4,4,4,66
258,0,666,666,,5,0,66,66,66,66,1,2,2,2,0,66,66,66,0,66,66,66,1,3,2,2,0,0,0,1,0,0,0,0,0,88,2,2,66,66
259,1,28,15,RUN RESTAURANT,4,1,2,2,2,2,0,66,66,66,0,66,66,66,1,1,1,1,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,2,66,66
260,1,40,10,CLERK,3,1,1,1,1,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,99,66
264,0,666,666,,3,1,1,2,1,2,1,1,2,1,0,66,66,66,1,1,1,1,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,2,66,66
266,1,19,3,,5,1,1,1,1,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,99
268,0,666,666,,4,1,3,3,2,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,2,66
270,1,18,33,SUPERVISION,4,1,1,2,2,2,0,66,66,66,0,66,66,66,1,4,1,1,0,66,66,66,66,66,66,66,66,66,66,66,66,66,4,4,2,66
275,0,666,666,,4,1,4,2,2,3,0,66,66,66,0,66,66,66,1,99,99,99,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,3,3
276,1,30,34,OFFICE WORK,2,1,1,1,1,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,99
278,0,666,666,,4,1,4,3,3,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,99,99,66
279,1,17,5,WAITRESSING,3,1,3,2,3,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,1,66
280,1,18,10,RETAIL,3,1,2,2,2,2,1,1,1,1,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,3,1,66
281,1,52,17,WALKING,3,1,1,1,1,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,2,2,1
282,0,666,666,,3,1,3,2,1,2,0,66,66,66,1,1,1,2,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,1,2,2,66
285,1,29,12,PHYSICAL THERAPY,5,1,4,2,4,2,1,3,1,2,0,66,66,66,0,66,66,66,1,4,2,4,0,0,1,0,0,0,0,1,0,0,1,2,66,66
290,1,16,4,CONSTRUCTION,2,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,1,0,0
295,1,18,29,CONSTRUCTION,4,1,1,2,1,2,0,66,66,66,0,66,66,66,1,4,1,1,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,2,66
296,0,666,666,,2,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,66,66
327,0,666,666,,3,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,2,2,1
343,1,23,17,TEACHER,4,1,4,1,1,2,0,66,66,66,0,66,66,66,1,4,1,1,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,2,2,1
352,1,18,5,MACHINIST,3,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,2,0,66
353,0,666,666,,3,1,1,2,2,2,0,66,66,66,0,66,66,66,0,66,66,66,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,666,666,,2,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,1,1,2,1,0,0,0,0,0,0,1,0,0,0,4,3,1,66
361,1,24,10,INDUSTRIAL,2,1,3,3,2,1,0,66,66,66,0,66,66,66,0,66,66,66,1,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,66
362,1,18,999,,3,1,4,2,2,2,1,4,2,4,0,66,66,66,1,4,1,2,1,4,2,4,0,0,0,0,0,0,0,0,0,88,3,2,66,66
363,0,666,666,,4,1,4,2,2,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,2,0,2
366,1,21,1,COPY SERVICE,4,1,1,2,1,2,1,1,1,1,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,1,66,66
367,1,18,20,WAITRESS,1,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,1,1,2
369,0,666,666,,4,1,4,3,2,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,2,2,3
370,1,18,7,RETAIL CLERK,3,1,1,2,1,3,1,1,2,1,0,66,66,66,1,4,3,3,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,66,66
371,1,18,15,BAKER,5,1,1,2,2,3,1,1,3,2,0,66,66,66,1,1,1,3,1,4,3,3,0,0,0,1,1,0,0,0,0,0,2,3,66,66
372,0,666,666,,4,1,1,2,2,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,1,2,66
373,1,20,7,WAITRESS,4,1,3,2,2,2,0,66,66,66,1,2,1,2,0,66,66,66,1,2,1,2,1,0,0,0,0,0,0,0,0,0,2,2,66,66
375,1,17,38,OFFICE COMPUTER,3,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,2,0,66
376,1,19,2,PLASTICS,4,0,66,66,66,66,0,66,66,66,0,66,66,66,1,4,99,99,0,66,66,66,66,66,66,66,66,66,66,66,66,66,4,2,2,66
378,1,32,13,SALES,2,1,1,1,1,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,66
379,1,15,10,GREENHOUSE,5,1,4,2,3,3,1,1,3,1,0,66,66,66,1,4,1,2,1,4,3,4,0,0,0,1,0,0,0,0,0,0,1,4,66,66
380,1,21,30,TEACHER,4,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,66
482,1,33,15,GROCERY,5,1,4,2,2,2,1,4,3,2,0,66,66,66,1,4,1,99,1,4,1,2,1,0,0,0,0,0,0,0,0,88,4,3,2,66
483,1,36,28,NURSING,2,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0
484,1,19,28,WALKING,4,1,4,3,1,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,2,0
488,0,666,666,,1,1,3,2,1,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,0,0,0
492,1,16,50,WAITRESSING,4,1,1,2,1,2,0,66,66,66,0,66,66,66,1,1,1,2,1,1,2,2,1,0,0,0,0,0,0,0,0,88,0,4,2,1
493,0,666,666,,4,1,2,2,1,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,1,1
500,0,666,666,,3,1,4,3,2,2,0,66,66,66,0,66,66,66,1,4,2,1,1,4,99,3,0,0,0,0,1,0,0,0,0,0,99,99,99,99
501,0,666,666,,5,1,2,2,1,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,2,2,1
503,0,666,666,,2,1,3,2,1,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,2,66
504,1,18,6,PAINTING,5,1,4,3,2,2,1,1,1,3,1,1,1,3,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,2,66
505,1,46,6,BUS AIDE,5,1,1,1,2,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,66
507,0,36,24,CROSSING KIDS,1,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0
509,1,18,17,NURSE,5,1,3,2,3,3,1,2,2,2,0,66,66,66,0,66,66,66,1,2,2,3,1,0,0,1,0,0,0,0,0,88,2,3,66,66
513,1,20,37,LOADING BOXCARS,3,1,2,2,3,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,4,2,0,66
514,1,25,1,GROCERY CARTS,99,1,4,99,99,99,1,99,2,2,99,99,99,99,1,3,2,99,1,99,99,3,0,0,0,0,0,0,1,0,0,0,4,4,66,66
517,1,23,19,MAILMAN,4,1,4,2,4,2,0,66,66,66,0,66,66,66,1,99,99,99,1,99,99,99,0,0,0,0,0,0,0,0,0,88,3,3,3,66
518,1,18,39,CONSTRUCTION,4,0,66,66,66,66,0,66,66,66,0,66,66,66,1,4,1,3,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,2,66
523,0,666,666,,2,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,66
527,0,666,666,,4,1,1,1,2,2,0,66,66,66,1,1,3,2,0,66,66,66,1,1,1,2,1,0,0,0,0,0,0,0,0,0,2,2,1,66
529,1,16,40,MECHANIC,4,1,2,1,1,2,0,66,66,66,0,66,66,66,1,3,1,2,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,2,2
532,1,37,19,SUPERMARKET,4,1,1,1,1,99,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0
536,0,666,666,,3,1,1,1,1,1,0,66,66,66,0,66,66,66,1,3,1,2,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0
539,1,30,15,SUPERVISOR,3,1,3,1,3,2,1,2,2,2,0,66,66,66,0,66,66,66,1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,3,3,66
541,1,12,35,WALKING,5,1,4,2,2,2,1,1,2,1,0,66,66,66,1,4,1,3,1,4,1,2,1,0,0,0,0,0,0,0,0,88,3,2,3,66
542,1,47,20,HOUSEWORK,5,1,4,3,2,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,99,2,3
545,1,20,26,NURSE,4,1,2,2,1,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,2,66
554,0,666,666,,3,1,1,2,1,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0
558,1,17,31,PRESSMAN,5,1,4,3,3,1,0,66,66,66,0,66,66,66,1,1,1,2,1,4,3,4,0,0,0,0,0,0,0,0,0,88,2,4,4,66
559,1,40,23,TEACHER ASSISTANT,5,1,4,2,4,1,1,4,2,4,1,2,3,2,1,4,1,2,1,4,3,4,0,1,1,0,0,0,0,0,0,0,2,4,4,4
572,0,666,666,,4,1,4,2,1,1,0,66,66,66,0,66,66,66,0,66,66,66,1,3,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1
575,0,666,666,,3,1,4,3,3,1,0,66,66,66,0,66,66,66,1,3,3,3,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,66,66
576,0,666,666,,4,1,4,1,2,2,1,4,1,2,0,66,66,66,1,4,1,1,1,4,2,2,0,0,1,0,0,0,0,0,0,0,2,3,3,66
578,0,666,666,,3,1,3,1,1,1,0,66,66,66,0,66,66,66,1,2,99,99,0,66,66,66,66,66,66,66,66,66,66,66,66,66,4,3,66,66
579,1,18,30,VARIOUS,3,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,0,0,66
597,1,49,999,FILE MEDICAL RECORDS,4,1,1,3,1,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,66
598,1,18,23,,3,1,4,1,1,2,1,2,1,2,1,1,1,2,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,1,2,66,66
599,1,30,23,LIBRARIAN,2,1,3,1,3,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,4,4,3,1
600,0,666,666,,2,0,66,66,66,66,0,66,66,66,0,66,66,66,1,4,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,88,4,1,66,66
608,0,666,666,,99,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0
615,0,666,666,,4,0,66,66,66,66,0,66,66,66,0,66,66,66,1,4,1,3,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,2,2
623,0,666,666,,4,1,4,2,1,2,0,66,66,66,0,66,66,66,1,4,1,1,0,66,66,66,66,66,66,66,66,66,66,66,66,66,4,2,2,3
646,0,666,666,,4,1,4,2,1,2,0,66,66,66,0,66,66,66,1,99,1,2,0,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,3
651,0,666,666,,4,1,4,1,2,3,1,1,1,1,0,66,66,66,1,4,1,2,1,2,1,3,0,0,1,0,0,0,1,0,0,88,0,2,2,66
652,0,666,666,,4,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0
654,1,21,20,PHYSICAL THERAPY,4,1,2,1,1,1,0,66,66,66,0,66,66,66,0,66,66,66,1,4,2,1,0,0,0,0,1,0,0,0,0,0,2,2,2,2
661,0,666,666,,2,1,1,3,1,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,1,99,66
662,0,666,666,,4,1,3,1,99,2,0,66,66,66,1,1,1,1,1,2,1,1,0,66,66,66,66,66,66,66,66,66,66,66,66,66,3,3,2,2
669,0,666,666,,4,1,1,1,1,1,0,66,66,66,0,66,66,66,1,2,1,3,0,66,66,66,66,66,66,66,66,66,66,66,66,66,1,2,2,1
674,0,666,666,,1,1,1,1,1,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,1,1,66
678,1,19,20,,3,1,1,1,99,1,99,99,99,99,0,66,66,66,0,66,66,66,1,1,99,99,99,99,99,1,99,99,99,99,99,99,0,1,66,66
681,1,17,13,FARM WORK,3,1,1,3,1,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,99
683,1,19,10,FACTORY,3,1,2,2,2,2,0,66,66,66,0,66,66,66,1,2,1,2,1,2,1,4,0,0,0,0,0,1,0,0,0,88,2,66,66,66
685,0,666,666,,1,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,66
693,0,666,666,,4,1,3,3,2,1,1,1,3,1,0,66,66,66,1,2,1,2,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,3,66
695,1,38,19,DAYCARE PROVIDER,3,1,1,2,1,1,1,1,2,1,0,66,66,66,1,2,1,2,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,2,66
696,1,31,21,MEAT WRAPPER,4,99,99,99,99,99,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0
698,1,20,40,PATIENT CARE,4,0,66,66,66,66,0,66,66,66,1,2,1,1,0,66,66,66,1,1,1,2,0,0,0,0,1,0,0,0,0,88,3,3,3,1
700,0,666,666,,3,1,2,3,4,1,1,1,99,99,0,66,66,66,1,2,2,1,1,1,2,2,0,0,0,0,0,0,1,1,0,0,3,66,66,66
716,1,35,10,PUBLIC HEALTH NURSE,2,1,99,99,99,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,99
721,1,37,20,LIBRARY-AV,3,1,1,1,1,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0
729,1,17,50,,4,1,4,1,3,2,0,66,66,66,0,66,66,66,0,66,66,66,1,3,2,2,0,0,0,0,0,0,1,0,0,0,2,2,1,1
740,0,666,666,,5,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0
743,0,666,666,,4,1,2,2,2,3,0,66,66,66,0,66,66,66,0,66,66,66,1,4,1,4,0,0,0,0,1,0,0,0,1,0,1,1,2,2
744,0,666,666,,4,1,4,1,1,2,0,66,66,66,0,66,66,66,1,2,1,3,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,2,2
745,1,25,25,TEACHER,3,1,4,3,4,1,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,0,66
750,0,666,666,,5,1,4,2,4,3,0,66,66,66,0,66,66,66,1,4,1,3,1,2,3,4,0,0,0,1,0,0,0,0,0,0,2,1,4,66
754,0,666,666,,4,1,4,3,3,2,1,1,99,99,0,66,66,66,1,1,99,99,1,3,3,3,0,0,0,0,0,0,1,0,0,0,99,99,99,4
761,1,19,42,RAILROAD,5,1,4,3,4,2,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,99
762,1,38,11,GRAPHICS,3,0,66,66,66,66,1,1,1,4,0,66,66,66,0,66,66,66,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,1,66
763,0,666,666,,4,0,66,66,66,66,0,66,66,66,0,66,66,66,1,1,1,3,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,66
764,1,16,15,FOOD SERVICE,2,0,66,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0
768,0,666,666,,2,1,2,1,1,1,0,66,66,66,1,1,1,2,0,66,66,66,0,66,66,66,66,66,66,66,66,66,66,66,66,66,2,2,66,66
